"","N1","N2","N3","T1","T2","T3","U1","U2","U3","U87"
"hsa-miR-6727-3p_21",0,0,1.31983839900787,0,0,0,0,0,0,0
"hsa-mir-6808_22",1.20704873399182,1.08349401722113,1.31983839900787,0,0,0,0.810279450469433,0,1.04005620704392,1.78321561275052
"hsa-miR-6808-5p_23",1.20704873399182,0,0,0,0,0,0,0,0,0
"hsa-miR-6808-3p_24",1.20704873399182,1.08349401722113,1.31983839900787,0,0,0,0.810279450469433,0,1.04005620704392,1.78321561275052
"hsa-mir-4251_25",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4251_26",0,0,0,0,0,0,0,0,0,0
"hsa-mir-551a_27",1.20704873399182,0,6.59919199503936,0.419172906676588,0,0,3.24111780187773,0,0,0
"hsa-miR-551a_28",1.20704873399182,0,3.95951519702361,0.419172906676588,0,0,2.4308383514083,0,0,0
"hsa-mir-4417_29",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4417_30",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4689_31",0,0,1.31983839900787,0,0,0,0,1.11799199723358,0,0
"hsa-miR-4689_32",0,0,1.31983839900787,0,0,0,0,1.11799199723358,0,0
"hsa-mir-4252_33",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4252_34",0,0,0,0,0,0,0,0,0,0
"hsa-mir-6728_35",1.20704873399182,0,1.31983839900787,0.419172906676588,1.89171596485702,0.772458302339638,0.810279450469433,0,2.08011241408784,0
"hsa-miR-6728-5p_36",0,0,1.31983839900787,0,0,0,0.810279450469433,0,1.04005620704392,0
"hsa-miR-6728-3p_37",1.20704873399182,0,0,0.419172906676588,1.89171596485702,0.772458302339638,0,0,1.04005620704392,0
"hsa-mir-34a_38",1350.68753333685,1122.4998018411,1306.64001501779,0,0.945857982428512,0.772458302339638,4.8616767028166,4.47196798893431,4.16022482817568,11776.3559066044
"hsa-miR-34a-5p_39",1318.09721751907,1088.91148730724,1282.88292383565,0,0,0.772458302339638,4.8616767028166,4.47196798893431,4.16022482817568,11715.7265757709
"hsa-miR-34a-3p_40",22.9339259458446,23.836868378865,19.7975759851181,0,0.945857982428512,0,0,0,0,57.0628996080166
"hsa-mir-5697_41",2.41409746798364,0,0,2.09586453338294,4.72928991214256,0.772458302339638,0.810279450469433,3.35397599170074,3.12016862113176,3.56643122550103
"hsa-miR-5697_42",2.41409746798364,0,0,2.09586453338294,2.83757394728554,0.772458302339638,0.810279450469433,3.35397599170074,2.08011241408784,3.56643122550103
"hsa-mir-1273d_43",2.41409746798364,2.16698803444227,0,0,1.89171596485702,0,0,0,0,0
"hsa-miR-1273d_44",2.41409746798364,2.16698803444227,0,0,1.89171596485702,0,0,0,0,0
"hsa-mir-6729_45",0,0,0,0,0.945857982428512,0,0,0,0,0
"hsa-miR-6729-5p_46",0,0,0,0,0.945857982428512,0,0,0,0,0
"hsa-miR-6729-3p_47",0,0,0,0,0,0,0,0,0,0
"hsa-mir-7846_48",0,0,0,0.419172906676588,1.89171596485702,0,0,0,0,0
"hsa-miR-7846-3p_49",0,0,0,0.419172906676588,1.89171596485702,0,0,0,0,0
"hsa-mir-4632_50",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4632-3p_51",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4632-5p_52",0,0,0,0,0,0,0,0,0,0
"hsa-mir-6730_53",0,0,0,0,0,0,1.62055890093887,4.47196798893431,0,0
"hsa-miR-6730-5p_54",0,0,0,0,0,0,1.62055890093887,3.35397599170074,0,0
"hsa-miR-6730-3p_55",0,0,0,0,0,0,0,1.11799199723358,0,0
"hsa-mir-3675_56",2.41409746798364,2.16698803444227,5.27935359603149,2.09586453338294,4.72928991214256,1.54491660467928,0,0,0,0
"hsa-miR-3675-5p_57",1.20704873399182,2.16698803444227,2.63967679801574,0,0,0,0,0,0,0
"hsa-miR-3675-3p_58",1.20704873399182,0,2.63967679801574,2.09586453338294,4.72928991214256,1.54491660467928,0,0,0,0
"hsa-mir-3972_59",0,0,0,0,0,0,0,0,0,0
"hsa-miR-3972_60",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4695_61",0,1.08349401722113,2.63967679801574,0,0,1.54491660467928,0,0,0,0
"hsa-miR-4695-5p_62",0,0,1.31983839900787,0,0,0,0,0,0,0
"hsa-miR-4695-3p_63",0,1.08349401722113,1.31983839900787,0,0,1.54491660467928,0,0,0,0
"hsa-mir-1290_64",0,0,0,1.25751872002976,0,0,0,0,0,0
"hsa-miR-1290_65",0,0,0,1.25751872002976,0,0,0,0,0,0
